	GO:0051082	GO:0043209	GO:0006457	GO:0051640	GO:0019904	GO:0044702	GO:0022402	GO:0051641	GO:0022414	GO:1902582	GO:0046907	GO:0003723	GO:0050790	GO:0033043	GO:0032268	GO:0000166	GO:1901265	GO:0071822	GO:0051246	GO:0044424	GO:0005488	GO:0043933	GO:0030554	GO:0036094	GO:1902589	GO:0032559	GO:0005524	GO:0005737	GO:0006996	GO:0001882	GO:0017076	GO:0019899	GO:0032550	GO:0001883	GO:0032549	GO:0005829	GO:0032555	GO:0035639	GO:0032553	GO:0005515	GO:0065009	GO:0032991	GO:0051128	GO:0003674	GO:0043228	GO:0043232	GO:1901363	GO:0008150	GO:0097159	GO:0043234	GO:0044464	GO:0071840	GO:0016043	GO:0080090	GO:0060255	GO:0048523	GO:0048519	GO:0019222	GO:0031323	GO:0048518	GO:0048522	GO:0043229	GO:0044444
Celf1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0
Celf2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0
Cenpf	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1
Cfl2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1
Champ1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0
Chd3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0
Chd7	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0
Chd8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Chmp2b	0	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1
Chmp4b	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1
Chmp5	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1
Cip2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ckap2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1
Clic4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1
Clip1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1
Clock	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
Cltc	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
Clvs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1
Cog6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
Copa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
Copb2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
Coro1c	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Cox8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
Cpa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crebbp	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Cript	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0
Cryl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Csnk1a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1
Csnk1e	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0
Ctsd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1
Ctsh	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1
Cyb5r3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1
Cyfip1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Dcaf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1
Ddi2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Ddx10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx19a	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0
Dennd1a	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1
Dhx15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Dkc1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0
Dlat	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
Dnah10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
Dnaja1	1	0	1	0	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1
Dnaja2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1
Dnaja4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1
Dnajb6	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1
Dnm1l	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
Dnmt1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Dnmt3a	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0
Dnttip2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0
Dock3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Dop1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dop1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dppa3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
Dpysl3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	1
Dsp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0
Dstn	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1
Dync1i2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0
E2f5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0
Ecpas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ect2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1
Eea1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1
Eef1b2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
Efhc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ehd4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1
Ehf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1
Eif1b	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif2s2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
Eif2s3x	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
Eif4e1b	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eif4enif1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1
Eif5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1
Eif5b	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0
Elavl2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ell	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0
Ell2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0
Elmod2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Eloc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eml4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0
Ep400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0
Eprs	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1
Ercc1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ero1lb	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1
Esco2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1
Esrp1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	0
Etfa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1
Etfb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1
Fabp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fam3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
Farsb	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
Fbxl5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1
Fbxo38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0
Fbxo7	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fbxw14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxw15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
